x,y,z
-0.772985,3.629585,4.549212
-0.511314,3.629724,4.563231
-0.254396,3.629589,4.571367
0,3.629502,4.574029
0.248996,3.995737,4.686749
0.488204,4.379553,4.810065
0.522066,4.824167,4.970408
-1.078,4.045655,4.659912
-0.759458,3.997834,4.667069
-0.501267,3.996741,4.679593
-0.248996,3.995737,4.686749
0,3.995318,4.689065
0.241677,4.377223,4.815836
-0.795575,4.428581,4.813153
-0.488204,4.379553,4.810065
-0.241677,4.377223,4.815836
0,4.376214,4.817623
0.230283,4.775031,4.959001
0.25723,5.233222,5.132425
-0.522066,4.824167,4.970408
-0.230283,4.775031,4.959001
0,4.772478,4.959765
-0.25723,5.233222,5.132425
0,5.180827,5.113631
0,5.656855,5.3
